Nom,Code_Postal,Commune,Latitude,Longitude,Type
Rivière d'Audoin,97180,Sainte-Anne,16.3004007,-61.359171,river
Ravine Bacadore,97101,Les Abymes,16.2567174,-61.5248714,river
Rivière de Baille-Argent,97116,Pointe-Noire,16.2669616,-61.7712066,river
Rivière du Baillif,97123,Baillif,16.0348095,-61.7303847,river
Rivière du Bananier,97130,Capesterre-Belle-Eau,16.0153596,-61.6071132,river
Baraguet,97116,Pointe-Noire,16.236248,-61.7434107,river
Rivière de Beaugendre,97119,Vieux-Habitants,16.1091115,-61.7335328,river
Rivière Bourceau,97125,Bouillante,16.1562519,-61.7720716,river
Rivière Bras-David,97170,Petit-Bourg,16.1958792,-61.670177,river
Caillou (rivière),97116,Pointe-Noire,16.2333037,-61.7835744,river
Rivière du Coin,97122,Baie-Mahault,16.2354032,-61.5891732,river
Rivière Colas,97125,Bouillante,16.1833152,-61.7554573,river
Rivière Corossol,97170,Petit-Bourg,16.159159,-61.698446,river
Rivière aux écrevisses,97170,Petit-Bourg,16.1702927,-61.685871,river
Petite Rivière (Deshaies),97126,Deshaies,16.2742012,-61.7788455,river
Rivière Ferry,97126,Deshaies,16.2846206,-61.7912243,river
Galion,97100,Basse-Terre,15.9915418,-61.7175775,river
Ravine Gardel,97160,Le Moule,16.3204266,-61.3340658,river
Ravine Gaschet,97131,Petit-Canal,16.3893612,-61.5098955,river
Petite Rivière à Goyave,97128,Goyave,16.128716,-61.5762623,river
Rivière du Grand Carbet,97130,Capesterre-Belle-Eau,16.0456536,-61.6521285,river
Rivière Grande Anse,97114,Trois-Rivières,15.9747587,-61.66274,river
Rivière Grande Plaine,97116,Pointe-Noire,16.2073175,-61.7587313,river
Grande Rivière à Goyaves,97129,Lamentin,16.2110427,-61.6583083,river
Grande Rivière de la Capesterre,97130,Capesterre-Belle-Eau,16.0716221,-61.6095181,river
Grande Rivière des Vieux-Habitants,97119,Vieux-Habitants,16.0574966,-61.7535793,river
Rivière aux Herbes,97100,Basse-Terre,15.9977243,-61.7229751,river
Rivière Houaromand,97122,Baie-Mahault,16.262076,-61.5762167,river
Rivière Bois Bananes,97129,Lamentin,16.2182987,-61.7162141,river
Rivière Bras de Sable,97129,Lamentin,16.1989262,-61.7256875,river
Rivière du Lamentin,97129,Lamentin,16.2712906,-61.6296489,river
Lézarde,97170,Petit-Bourg,16.1924028,-61.6289797,river
Rivière Lostau,97125,Bouillante,16.1618501,-61.7630044,river
La Rate (rivière),97126,Deshaies,16.3245179,-61.7729536,river
Rivière Deshaies,97126,Deshaies,16.2980244,-61.7758399,river
Rivière Madame,97115,Sainte-Rose,16.3316921,-61.7325739,river
Rivière Mitan,97126,Deshaies,16.3103858,-61.7797695,river
Rivière Ziotte,97126,Deshaies,16.3220858,-61.7852314,river
Rivière Mahault,97122,Baie-Mahault,16.2511524,-61.6137259,river
Rivière Maleville,97126,Deshaies,16.2803454,-61.788849,river
Rivière Moreau,97128,Goyave,16.1228525,-61.6115387,river
Rivière Moustique (Petit-Bourg),97170,Petit-Bourg,16.161369,-61.6270731,river
Rivière Moustique (Sainte-Rose),97115,Sainte-Rose,16.29505,-61.7156788,river
Rivière de Nogent,97115,Sainte-Rose,16.3052626,-61.7542009,river
Rivière des Pères,97100,Basse-Terre,16.0101017,-61.7382042,river
Rivière du Pérou,97130,Capesterre-Belle-Eau,16.0549835,-61.5876107,river
Canal de Perrin,97111,Les Abymes,16.303908,-61.5131676,river
Rivière du Petit Carbet,97114,Trois-Rivières,16.015253,-61.6476056,river
Rivière Petite Plaine,97116,Pointe-Noire,16.2244085,-61.7612504,river
Petite Rivière de la Capesterre,97130,Capesterre-Belle-Eau,16.0808028,-61.6548523,river
Rivière du Plessis,97123,Baillif,16.0515187,-61.73222,river
Rivière de la Ramée,97115,Sainte-Rose,16.3265206,-61.7192642,river
Ravine du Nord-Ouest,97160,Le Moule,16.333419,-61.370506,river
Ravine Salée,97113,Gourbeyre,15.9755789,-61.7049073,river
Rivière de Bouillante,97125,Bouillante,16.1363365,-61.7565113,river
Rivière la Rose,97128,Goyave,16.14746825,-61.58501054933737,river
Canal des Rotours,97111,Morne-à-l'Eau,16.3417751,-61.4727585,river
Rivière Saint-Denis,97130,Capesterre-Belle-Eau,16.0420951,-61.5685049,river
Rivière de Saint-Louis,97140,Capesterre-de-Marie-Galante,15.9206299,-61.2567917,river
Rivière de Sainte-Marie,97130,Capesterre-Belle-Eau,16.0944915,-61.5753476,river
Rivière Salée (Sainte-Rose),97115,Sainte-Rose,16.319438,-61.7125403,river
Rivière la Sarcelle,97170,Petit-Bourg,16.1619879,-61.5835297,river
Rivière Sens,97113,Gourbeyre,15.9911075,-61.7077573,river
Rivière du Vieux-Fort (Basse-Terre),97115,Sainte-Rose,16.3342279,-61.7537483,river
Cascade de Bis,97115,Sainte-Rose,16.2799701,-61.6963257,waterfall
Chutes du Carbet,97130,Capesterre-Belle-Eau,16.0121246,-61.5879838,waterfall
Cascade de Bois Bananes,97129,Lamentin,16.2137003,-61.697559,waterfall
Cascade aux écrevisses,97170,Petit-Bourg,16.1782001,-61.681502,waterfall
Cascade de la Coulisse,97114,Trois-Rivières,15.9750941,-61.6320533,waterfall
Chute du Galion,97113,Gourbeyre,16.0316324,-61.6628519,waterfall
Saut de la Lézarde,97170,Petit-Bourg,16.1777377,-61.655486,waterfall
Saut de Matouba,97120,Saint-Claude,16.0466812,-61.7049264,waterfall
Chutes Moreau,97128,Goyave,16.1061775,-61.653489,waterfall
Saut des Trois Cornes,97115,Sainte-Rose,16.2856945,-61.7264673,waterfall
Plage de la Chapelle,97121,Anse-Bertrand,16.4712254,-61.51292251848841,beach
Plage de l'Anse Laborde,97121,Anse-Bertrand,16.4840421,-61.50102770703285,beach
Trou à Man Lwi,97121,Anse-Bertrand,16.48569885,-61.49737344283831,beach
Plage de l'Anse Colas,97121,Anse-Bertrand,16.46269045,-61.5229615710841,beach
Plage de la Porte d'Enfer,97121,Anse-Bertrand,16.4862218,-61.44169813718631,beach
Plage des Sources,97123,Baillif,16.0273327,-61.74835409528754,beach
Plage de Rivière-Sens,97100,Basse-Terre,15.9808561,-61.71551434365537,beach
Plage des Sources,97100,Basse-Terre,16.0273327,-61.74835409528754,beach
Plage d'Anse du Val de l'Orge,97100,Basse-Terre,16.040281049999997,-61.75490434892015,beach
Plage de Rocroy,97100,Basse-Terre,16.04659015,-61.76089250991379,beach
Plage d'Anse à Sable,97125,Bouillante,16.1483888,-61.77511726090683,beach
Plage de Petite Anse,97125,Bouillante,16.09606265,-61.77069854617928,beach
Plage de Malendure,97125,Bouillante,16.171961699999997,-61.77642613263339,beach
Plage de Roseau,97130,Capesterre-Belle-Eau,16.093152850000003,-61.55902578446879,beach
Plage de la Feuillère,97140,Capesterre-de-Marie-Galante,15.888384649999999,-61.22297658187817,beach
Plage de la Ferrière,97140,Capesterre-de-Marie-Galante,15.88585115,-61.22676685185252,beach
Plage de la Petite Anse,97140,Capesterre-de-Marie-Galante,15.8799991,-61.233512877083335,beach
Plages des Galets,97140,Capesterre-de-Marie-Galante,15.91126345,-61.19982923575483,beach
Plage de Rivière-Sens,97113,Gourbeyre,15.9808561,-61.71551434365537,beach
Plage à Fifi,97127,La Désirade,16.3029607,-61.0703128517749,beach
Plage à Fanfan,97127,La Désirade,16.299796899999997,-61.07782551766479,beach
Plage du Souffleur,97127,La Désirade,16.3103181,-61.0447154225855,beach
Plage des Galets,97127,La Désirade,16.2938592,-61.09432905735294,beach
Plage de Baie-Mahault,97127,La Désirade,16.32934815,-61.01397384834617,beach
Plage de Deshaies,97126,Deshaies,16.30550125,-61.79495035693684,beach
Plage Bosco,97126,Deshaies,16.2861063,-61.801744239267016,beach
Plage de Rifflet,97126,Deshaies,16.3350309,-61.787775332636315,beach
Plage de Leroux,97126,Deshaies,16.27547895,-61.80418566891362,beach
Plage de Petit Bas Vent,97126,Deshaies,16.3472683,-61.776615914551826,beach
Plage de Grand Bas Du Vent,97126,Deshaies,16.3494147,-61.77451180079052,beach
Plage de Tillet,97126,Deshaies,16.350813950000003,-61.76891510447059,beach
Plage des Bébés,97112,Grand-Bourg,15.871186699999999,-61.28939031480863,beach
Plage des Trois Îlets,97112,Grand-Bourg,15.925298699999999,-61.33427747157042,beach
Plage de Folle Anse,97112,Grand-Bourg,15.94934955,-61.32334671335073,beach
Plage de la Datcha,97190,Le Gosier,16.20475935,-61.494683533183874,beach
Plage de l'Anse Tabarin,97190,Le Gosier,16.205391149999997,-61.50049828874144,beach
Plage de Grand Baie,97190,Le Gosier,16.21226975,-61.50738695589777,beach
Plage d'Anse Vinaigri,97190,Le Gosier,16.19938965,-61.46984685795807,beach
Plage de la Caye d'Argent,97190,Le Gosier,16.2163743,-61.52743113669399,beach
Plage des Salines,97190,Le Gosier,16.205200599999998,-61.443026224105544,beach
Plage de Petit-Havre,97190,Le Gosier,16.20927915,-61.42569407483619,beach
Les Deux Oursins,97190,Le Gosier,16.209645899999998,-61.42335849942228,beach
Plage de Babin,97111,Morne-à-l'Eau,16.341054200000002,-61.52613450339696,beach
Plage du Port,97111,Morne-à-l'Eau,16.3786408,-61.49656663633388,beach
Plage de Pointe Sable,97111,Morne-à-l'Eau,16.38738635,-61.51077688872549,beach
Plage de L'Autre Bord,97160,Le Moule,16.32966285,-61.340883371115154,beach
Plage de l'Autre Bord,97160,Le Moule,16.3326014,-61.340525706509354,beach
Plage de l'autre bord,97160,Le Moule,16.33331855,-61.33777376165689,beach
Plage des Alizés,97160,Le Moule,16.3335341,-61.3361038,beach
Plage de Montal,97160,Le Moule,16.3319922,-61.324999,beach
Plage des Dauphins,97160,Le Moule,16.3321348,-61.32505851490956,beach
Plage du Port,97131,Petit-Canal,16.3786408,-61.49656663633388,beach
Plage de l'Anse des Corps,97131,Petit-Canal,16.41659005,-61.402691424261604,beach
Plage de la Caye d'Argent,97110,Pointe-à-Pitre,16.2163743,-61.52743113669399,beach
Plage de Bas-du-Fort,97110,Pointe-à-Pitre,16.21408675,-61.523198811680516,beach
Plage de Grand Baie,97110,Pointe-à-Pitre,16.21226975,-61.50738695589777,beach
Plage de l'Anse Tabarin,97110,Pointe-à-Pitre,16.205391149999997,-61.50049828874144,beach
Plage de la Datcha,97110,Pointe-à-Pitre,16.20475935,-61.494683533183874,beach
Plage d'Anse à Coq,97110,Pointe-à-Pitre,15.992527299999999,-61.252348462854656,beach
Plage de Folle Anse,97110,Pointe-à-Pitre,15.94934955,-61.32334671335073,beach
Anse Canot,97110,Pointe-à-Pitre,15.981853399999999,-61.30549652586426,beach
Plage du Vieux Fort,97110,Pointe-à-Pitre,15.9877459,-61.30150112603694,beach
Plage d'Anse Bambou,97110,Pointe-à-Pitre,15.99218105,-61.29869161612311,beach
Plage Marigot,97116,Pointe-Noire,16.235477850000002,-61.792032226050424,beach
Plage de l'Anse Caraïbe,97116,Pointe-Noire,16.2122042,-61.78272410002048,beach
Plage de Petite Anse,97116,Pointe-Noire,16.2679297,-61.80580252514425,beach
Plage à Jouibert,97117,Port-Louis,16.413437700000003,-61.53244632007299,beach
Plage du Souffleur,97117,Port-Louis,16.4286248,-61.535721077135506,beach
Anse Gris Gris,97117,Port-Louis,16.403484249999998,-61.528362099403196,beach
Plage d'Antigues,97117,Port-Louis,16.434504949999997,-61.5367406042464,beach
Plage de Pointe Sable,97117,Port-Louis,16.38738635,-61.51077688872549,beach
Plage des Raisins Clairs,97118,Saint-François,16.250192849999998,-61.280335252590376,beach
Plage du Haut du Bourg,97118,Saint-François,16.2506377,-61.2675518,beach
Plage de la Pointe des Pies,97118,Saint-François,16.25092,-61.265553491660725,beach
Plage du Lagon,97118,Saint-François,16.2519513,-61.26438667657909,beach
Plage d'Anse Champagne,97118,Saint-François,16.25312155,-61.26204099224294,beach
Plage de l'Anse des Rochers,97118,Saint-François,16.2420741,-61.30588096398627,beach
Anse à la Baie,97118,Saint-François,16.2784098,-61.248199281310676,beach
Plage des Rouleaux,97118,Saint-François,16.27349545,-61.24325521991395,beach
Plage de la Douche,97118,Saint-François,16.2530775,-61.23100070992571,beach
Plage de la douche,97118,Saint-François,16.2528635,-61.22988467616641,beach
Anse Canot,97134,Saint-Louis,15.981853399999999,-61.30549652586426,beach
Plage des Sources,97134,Saint-Louis,16.0273327,-61.74835409528754,beach
Plage du Vieux Fort,97134,Saint-Louis,15.9877459,-61.30150112603694,beach
Plage d'Anse du Val de l'Orge,97134,Saint-Louis,16.040281049999997,-61.75490434892015,beach
Plage d'Anse Bambou,97134,Saint-Louis,15.99218105,-61.29869161612311,beach
Plage de Rocroy,97134,Saint-Louis,16.04659015,-61.76089250991379,beach
Plage d'Anse à Coq,97134,Saint-Louis,15.992527299999999,-61.252348462854656,beach
Plage du Bourg,97180,Sainte-Anne,16.222571000000002,-61.38097426571734,beach
La Caravelle,97180,Sainte-Anne,16.218232399999998,-61.39450045445376,beach
Plage d'Anse du Belley,97180,Sainte-Anne,16.2326105,-61.36823032510067,beach
Plage de Bois Jolan,97180,Sainte-Anne,16.23728375,-61.34715958678582,beach
Plage de Gros Sable,97180,Sainte-Anne,16.2414418,-61.33933869077809,beach
Plage Mambia,97115,Sainte-Rose,16.345109649999998,-61.717643726043804,beach
Plage d'Anse du Petit Fort,97115,Sainte-Rose,16.36051425,-61.74227310174806,beach
Plage de l'Anse des Îles,97115,Sainte-Rose,16.3567246,-61.747154454314725,beach
Plage,97115,Sainte-Rose,16.35525475,-61.759146263917145,beach
Plage de Grande-Anse,97136,Terre-de-Bas,15.85944395,-61.624811243532776,beach
Plage de Grand Baie,97136,Terre-de-Bas,15.8555148,-61.62044851040858,beach
Plage de l'Anse à Dos,97136,Terre-de-Bas,15.85403465,-61.646856359700905,beach
Plage d'Anse Rodrigue,97136,Terre-de-Bas,15.85800055,-61.579576682314,beach
Plage d'Anse du Figuier,97136,Terre-de-Bas,15.85904835,-61.588745982678915,beach
Plage de Pompierre,97136,Terre-de-Bas,15.8721812,-61.57139823307925,beach
Plage du Pain de Sucre,97136,Terre-de-Bas,15.863518,-61.59876457041109,beach
Plage d'Anse Crawen,97136,Terre-de-Bas,15.8577711,-61.602652890899776,beach
Plage de l'Anse du Grand-Etang,97136,Terre-de-Bas,15.8392761,-61.58734369686084,beach
Plage d'Anse Rodrigue,97137,Terre-de-Haut,15.85800055,-61.579576682314,beach
Plage d'Anse du Figuier,97137,Terre-de-Haut,15.85904835,-61.588745982678915,beach
Plage de Pompierre,97137,Terre-de-Haut,15.8721812,-61.57139823307925,beach
Plage du Pain de Sucre,97137,Terre-de-Haut,15.863518,-61.59876457041109,beach
Plage d'Anse Crawen,97137,Terre-de-Haut,15.8577711,-61.602652890899776,beach
Plage de l'Anse du Grand-Etang,97137,Terre-de-Haut,15.8392761,-61.58734369686084,beach
Plage d'Anse Bambou,97141,Vieux-Fort,15.99218105,-61.29869161612311,beach
Plage du Vieux Fort,97141,Vieux-Fort,15.9877459,-61.30150112603694,beach
Anse Canot,97141,Vieux-Fort,15.981853399999999,-61.30549652586426,beach
Plage de Moustique,97141,Vieux-Fort,15.978006950000001,-61.30778149752429,beach
Plage d'Anse à Coq,97141,Vieux-Fort,15.992527299999999,-61.252348462854656,beach
Plage de Folle Anse,97141,Vieux-Fort,15.94934955,-61.32334671335073,beach
Plage de Simaho,97119,Vieux-Habitants,16.05715185,-61.76857369415267,beach
Plage de l'Étang,97119,Vieux-Habitants,16.0683875,-61.76889955787496,beach
Plage de Rocroy,97119,Vieux-Habitants,16.04659015,-61.76089250991379,beach
Plage d'Anse du Val de l'Orge,97119,Vieux-Habitants,16.040281049999997,-61.75490434892015,beach
